Designator,Mid X,Mid Y,Rotation,Layer
BT1,104.14,-57.15,0.0,top
C1,143.47,-87.63,0.0,top
C2,156.25,-87.63,0.0,top
C3,114.32,-68.58,180.0,top
C4,175.24,-60.96,180.0,top
D1,130.81,-57.15,90.0,top
J1,193.25,-56.935,270.0,top
LS1,193.04,-68.62,270.0,top
R1,124.46,-93.98,0.0,top
R2,124.46,-84.85,90.0,top
R3,175.26,-84.85,90.0,top
R4,175.26,-93.98,180.0,top
R5,190.5,-93.98,0.0,top
R6,140.97,-60.96,0.0,top
R7,158.75,-60.96,180.0,top
RV1,192.985,-104.14,270.0,top
SW1,115.57,-54.8,0.0,top
T1,195.58,-87.63,0.0,top
U1,142.24,-71.12,0.0,top
U2,157.48,-71.12,0.0,top
